match_no,ballnumber,inningno,over,outcome,batter,bowler,comment,score
1,1,1,0.1,1nb,Gaikwad,Umesh Yadav,"Umesh Yadav to Gaikwad, 1 no ball",1
1,2,1,0.1,0,Gaikwad,Umesh Yadav,"Umesh Yadav to Gaikwad, no run",0
1,3,1,0.2,1wd,Gaikwad,Umesh Yadav,"Umesh Yadav to Gaikwad, 1 wide",1
1,4,1,0.2,0,Gaikwad,Umesh Yadav,"Umesh Yadav to Gaikwad, no run",0
1,5,1,0.3,w,Gaikwad,Umesh Yadav,"Umesh Yadav to Gaikwad, no run Wicket - c Nitish Rana b Umesh Yadav batsmen",0
1,6,1,0.4,1wd,Uthappa,Umesh Yadav,"Umesh Yadav to Uthappa, 1 wide",1
1,7,1,0.4,0,Uthappa,Umesh Yadav,"Umesh Yadav to Uthappa, no run",0
1,8,1,0.5,0,Uthappa,Umesh Yadav,"Umesh Yadav to Uthappa, no run",0
1,9,1,0.6,0,Uthappa,Umesh Yadav,"Umesh Yadav to Uthappa, no run",0
1,10,1,1.1,0,Conway,Shivam Mavi,"Shivam Mavi to Conway, no run",0
1,11,1,1.2,0,Conway,Shivam Mavi,"Shivam Mavi to Conway, no run",0
1,12,1,1.3,1,Conway,Shivam Mavi,"Shivam Mavi to Conway, 1 run",1
1,13,1,1.4,4,Uthappa,Shivam Mavi,"Shivam Mavi to Uthappa, Four runs",4
1,14,1,1.5,0,Uthappa,Shivam Mavi,"Shivam Mavi to Uthappa, no run",0
1,15,1,1.6,0,Uthappa,Shivam Mavi,"Shivam Mavi to Uthappa, no run",0
1,16,1,2.1,1,Conway,Umesh Yadav,"Umesh Yadav to Conway, 1 run",1
1,17,1,2.2,6,Uthappa,Umesh Yadav,"Umesh Yadav to Uthappa, Six runs",6
1,18,1,2.3,0,Uthappa,Umesh Yadav,"Umesh Yadav to Uthappa, no run",0
1,19,1,2.4,0,Uthappa,Umesh Yadav,"Umesh Yadav to Uthappa, no run",0
1,20,1,2.5,1,Uthappa,Umesh Yadav,"Umesh Yadav to Uthappa, 1 run",1
1,21,1,2.6,0,Conway,Umesh Yadav,"Umesh Yadav to Conway, no run",0
1,22,1,3.1,1,Uthappa,Shivam Mavi,"Shivam Mavi to Uthappa, 1 run",1
1,23,1,3.2,0,Conway,Shivam Mavi,"Shivam Mavi to Conway, no run",0
1,24,1,3.3,1,Conway,Shivam Mavi,"Shivam Mavi to Conway, 1 run",1
1,25,1,3.4,6,Uthappa,Shivam Mavi,"Shivam Mavi to Uthappa, Six runs",6
1,26,1,3.5,0,Uthappa,Shivam Mavi,"Shivam Mavi to Uthappa, no run",0
1,27,1,3.6,4,Uthappa,Shivam Mavi,"Shivam Mavi to Uthappa, Four runs",4
1,28,1,4.1,w,Conway,Umesh Yadav,"Umesh Yadav to Conway, no run Wicket - c Shreyas Iyer b Umesh Yadav batsmen",0
1,29,1,4.2,0,Rayudu,Umesh Yadav,"Umesh Yadav to Rayudu, no run",0
1,30,1,4.3,0,Rayudu,Umesh Yadav,"Umesh Yadav to Rayudu, no run",0
1,31,1,4.4,0,Rayudu,Umesh Yadav,"Umesh Yadav to Rayudu, no run",0
1,32,1,4.5,1,Rayudu,Umesh Yadav,"Umesh Yadav to Rayudu, 1 run",1
1,33,1,4.6,0,Uthappa,Umesh Yadav,"Umesh Yadav to Uthappa, no run",0
1,34,1,5.1,1,Rayudu,Chakaravarthy,"Chakaravarthy to Rayudu, 1 run",1
1,35,1,5.2,1,Uthappa,Chakaravarthy,"Chakaravarthy to Uthappa, 1 run",1
1,36,1,5.3,0,Rayudu,Chakaravarthy,"Chakaravarthy to Rayudu, no run",0
1,37,1,5.4,0,Rayudu,Chakaravarthy,"Chakaravarthy to Rayudu, no run",0
1,38,1,5.5,4,Rayudu,Chakaravarthy,"Chakaravarthy to Rayudu, Four runs",4
1,39,1,5.6,0,Rayudu,Chakaravarthy,"Chakaravarthy to Rayudu, no run",0
1,40,1,6.1,1,Uthappa,Narine,"Narine to Uthappa, 1 run",1
1,41,1,6.2,1,Rayudu,Narine,"Narine to Rayudu, 1 run",1
1,42,1,6.3,2,Uthappa,Narine,"Narine to Uthappa, 2 runs",2
1,43,1,6.4,0,Uthappa,Narine,"Narine to Uthappa, no run",0
1,44,1,6.5,1,Uthappa,Narine,"Narine to Uthappa, 1 run",1
1,45,1,6.6,0,Rayudu,Narine,"Narine to Rayudu, no run",0
1,46,1,7.1,1,Uthappa,Chakaravarthy,"Chakaravarthy to Uthappa, 1 run",1
1,47,1,7.2,0,Rayudu,Chakaravarthy,"Chakaravarthy to Rayudu, no run",0
1,48,1,7.3,6,Rayudu,Chakaravarthy,"Chakaravarthy to Rayudu, Six runs",6
1,49,1,7.4,0,Rayudu,Chakaravarthy,"Chakaravarthy to Rayudu, no run",0
1,50,1,7.5,1,Rayudu,Chakaravarthy,"Chakaravarthy to Rayudu, 1 run",1
1,51,1,7.6,1,Jadeja,Chakaravarthy,"Chakaravarthy to Jadeja, 1 run",1
1,52,1,7.6,w,Uthappa,Chakaravarthy,"Chakaravarthy to Uthappa, 1 run Wicket - c Jackson b Chakaravarthy batsmen",1
1,53,1,8.1,1,Jadeja,Narine,"Narine to Jadeja, 1 run",1
1,54,1,8.2,0,Rayudu,Narine,"Narine to Rayudu, no run",0
1,55,1,8.3,1,Rayudu,Narine,"Narine to Rayudu, 1 run",1
1,56,1,8.4,w,Jadeja,Narine,"Narine to Jadeja, no run Wicket - c Shreyas Iyer/Narine b Narine batsmen",0
1,57,1,8.5,1,Jadeja,Narine,"Narine to Jadeja, 1 run",1
1,58,1,8.6,0,Shivam Dube,Narine,"Narine to Shivam Dube, no run",0
1,59,1,9.1,2,Jadeja,Chakaravarthy,"Chakaravarthy to Jadeja, 2 runs",2
