season,date,match_number,match_type,venue,location,team1,team2,toss_won,toss_decision,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,man_of_match
2022,26-03-2022,1,,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,AK Chaudhary,Nitin Menon,Chirra Ravikanthreddy,M Nayyar,Kolkata Knight Riders,0,6,UT Yadav
2022,27-03-2022,2,,"Brabourne Stadium, Mumbai",Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,RJ Tucker,HAS Khalid,N Pandit,Prakash Bhatt,Delhi Capitals,0,4,Kuldeep Yadav
2022,27-03-2022,3,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Nitin Menon,YC Barde,R Pandit,M Nayyar,Punjab Kings,0,5,OF Smith
2022,28-03-2022,4,,"Wankhede Stadium, Mumbai",Mumbai,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,PG Pathak,VK Sharma,GR Sadashiv Iyer,DS Manohar,Gujarat Titans,0,5,Mohammed Shami
2022,29-03-2022,5,,"Maharashtra Cricket Association Stadium, Pune",Pune,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,BNJ Oxenford,UV Gandhe,MV Saidharshan Kumar,Shakti Singh,Rajasthan Royals,61,0,SV Samson
2022,30-03-2022,6,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,J Madanagopal,Navdeep Singh,Chirra Ravikanthreddy,M Nayyar,Royal Challengers Bangalore,0,3,PWH de Silva
2022,31-03-2022,7,,"Brabourne Stadium, Mumbai",Mumbai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,RJ Tucker,VK Sharma,NA Patwardhan,J Srinath,Lucknow Super Giants,0,6,E Lewis
2022,01-04-2022,8,,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,AK Chaudhary,HAS Khalid,A Totre,Prakash Bhatt,Kolkata Knight Riders,0,6,UT Yadav
2022,02-04-2022,9,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Nitin Menon,PG Pathak,N Pandit,DS Manohar,Rajasthan Royals,23,0,JC Buttler
2022,02-04-2022,10,,"Maharashtra Cricket Association Stadium, Pune",Pune,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,KN Ananthapadmanabhan,UV Gandhe,Vinod Seshan,Shakti Singh,Gujarat Titans,14,0,LH Ferguson
2022,03-04-2022,11,,"Brabourne Stadium, Mumbai",Mumbai,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,RJ Tucker,YC Barde,R Pandit,J Srinath,Punjab Kings,54,0,LS Livingstone
2022,04-04-2022,12,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,J Madanagopal,Navdeep Singh,GR Sadashiv Iyer,M Nayyar,Lucknow Super Giants,12,0,Avesh Khan
2022,05-04-2022,13,,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,AK Chaudhary,HAS Khalid,NA Patwardhan,Prakash Bhatt,Royal Challengers Bangalore,0,4,KD Karthik
2022,06-04-2022,14,,"Maharashtra Cricket Association Stadium, Pune",Pune,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,BNJ Oxenford,KN Ananthapadmanabhan,MV Saidharshan Kumar,V Narayan Kutty,Kolkata Knight Riders,0,5,PJ Cummins
2022,07-04-2022,15,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,RJ Tucker,Tapan Sharma,A Totre,Shakti Singh,Lucknow Super Giants,0,6,Q de Kock
2022,08-04-2022,16,,"Brabourne Stadium, Mumbai",Mumbai,Punjab Kings,Gujarat Titans,Gujarat Titans,field,AK Chaudhary,VK Sharma,Chirra Ravikanthreddy,J Srinath,Gujarat Titans,0,6,Shubman Gill
2022,09-04-2022,17,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Navdeep Singh,Nitin Menon,N Pandit,J Srinath,Sunrisers Hyderabad,0,8,Abhishek Sharma
2022,09-04-2022,18,,"Maharashtra Cricket Association Stadium, Pune",Pune,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,BNJ Oxenford,KN Ananthapadmanabhan,Vinod Seshan,V Narayan Kutty,Royal Challengers Bangalore,0,7,Anuj Rawat
2022,10-04-2022,19,,"Brabourne Stadium, Mumbai",Mumbai,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,CB Gaffaney,J Madanagopal,R Pandit,Prakash Bhatt,Delhi Capitals,44,0,Kuldeep Yadav
2022,10-04-2022,20,,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,AK Chaudhary,Tapan Sharma,GR Sadashiv Iyer,J Srinath,Rajasthan Royals,3,0,YS Chahal
2022,11-04-2022,21,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chirra Ravikanthreddy,RJ Tucker,NA Patwardhan,DS Manohar,Sunrisers Hyderabad,0,8,KS Williamson
2022,12-04-2022,22,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Nitin Menon,N Pandit,A Totre,J Srinath,Chennai Super Kings,23,0,S Dube
2022,13-04-2022,23,,"Maharashtra Cricket Association Stadium, Pune",Pune,Punjab Kings,Mumbai Indians,Mumbai Indians,field,BNJ Oxenford,UV Gandhe,MV Saidharshan Kumar,V Narayan Kutty,Punjab Kings,12,0,MA Agarwal
2022,14-04-2022,24,,"Dr DY Patil Sports Academy, Mumbai",Mumbai,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,CB Gaffaney,R Pandit,Tapan Sharma,M Nayyar,Gujarat Titans,37,0,HH Pandya
